bas_dd,eqw_idx_bp,eqw_ret_1d_bp,breadth_up_bp
20250106,9994,-6,0
20250107,9993,-1,1300
20250108,9997,4,2600
20250109,10006,9,3900
20250110,10003,-3,5200
20250113,10005,2,6500
20250114,10012,7,7800
20250115,10007,-5,9100
20250116,10007,0,700
20250117,10012,5,2000
20250120,10022,10,3300
20250121,10020,-2,4600
20250122,10023,3,5900
20250123,10031,8,7200
20250124,10027,-4,8500
20250127,10028,1,100
20250128,10034,6,1400
20250129,10028,-6,2700
20250130,10027,-1,4000
20250131,10031,4,5300
20250203,10040,9,6600
20250204,10037,-3,7900
20250205,10039,2,9200
20250206,10046,7,800
20250207,10041,-5,2100
20250210,10041,0,3400
20250211,10046,5,4700
20250212,10056,10,6000
20250213,10054,-2,7300
20250214,10057,3,8600
20250217,10065,8,200
20250218,10061,-4,1500
20250219,10062,1,2800
20250220,10068,6,4100
20250221,10062,-6,5400
20250224,10061,-1,6700
20250225,10065,4,8000
20250226,10074,9,9300
20250227,10071,-3,900
20250228,10073,2,2200
20250303,10080,7,3500
20250304,10075,-5,4800
20250305,10075,0,6100
20250306,10080,5,7400
20250307,10090,10,8700
20250310,10088,-2,300
20250311,10091,3,1600
20250312,10099,8,2900
20250313,10095,-4,4200
20250314,10096,1,5500
20250317,10102,6,6800
20250318,10096,-6,8100
20250319,10095,-1,9400
20250320,10099,4,1000
20250321,10108,9,2300
20250324,10105,-3,3600
20250325,10107,2,4900
20250326,10114,7,6200
20250327,10109,-5,7500
20250328,10109,0,8800
20250331,10114,5,400
20250401,10124,10,1700
20250402,10122,-2,3000
20250403,10125,3,4300
20250404,10133,8,5600
20250407,10129,-4,6900
20250408,10130,1,8200
20250409,10136,6,9500
20250410,10130,-6,1100
20250411,10129,-1,2400
20250414,10133,4,3700
20250415,10142,9,5000
20250416,10139,-3,6300
20250417,10141,2,7600
20250418,10148,7,8900
20250421,10143,-5,500
20250422,10143,0,1800
20250423,10148,5,3100
20250424,10158,10,4400
20250425,10156,-2,5700
20250428,10159,3,7000
20250429,10167,8,8300
20250430,10163,-4,9600
20250501,10164,1,1200
20250502,10170,6,2500
20250505,10164,-6,3800
20250506,10163,-1,5100
20250507,10167,4,6400
20250508,10176,9,7700
20250509,10173,-3,9000
20250512,10175,2,600
20250513,10182,7,1900
20250514,10177,-5,3200
20250515,10177,0,4500
20250516,10182,5,5800
20250519,10192,10,7100
20250520,10190,-2,8400
20250521,10193,3,0
20250522,10201,8,1300
20250523,10197,-4,2600
20250526,10198,1,3900
20250527,10204,6,5200
20250528,10198,-6,6500
20250529,10197,-1,7800
20250530,10201,4,9100
20250602,10210,9,700
20250603,10207,-3,2000
20250604,10209,2,3300
20250605,10216,7,4600
20250606,10211,-5,5900
20250609,10211,0,7200
20250610,10216,5,8500
20250611,10226,10,100
20250612,10224,-2,1400
20250613,10227,3,2700
20250616,10235,8,4000
20250617,10231,-4,5300
20250618,10232,1,6600
20250619,10238,6,7900
20250620,10232,-6,9200
20250623,10231,-1,800
20250624,10235,4,2100
20250625,10244,9,3400
20250626,10241,-3,4700
20250627,10243,2,6000
20250630,10250,7,7300
20250701,10245,-5,8600
20250702,10245,0,200
20250703,10250,5,1500
20250704,10260,10,2800
20250707,10258,-2,4100
20250708,10261,3,5400
20250709,10269,8,6700
20250710,10265,-4,8000
20250711,10266,1,9300
20250714,10272,6,900
20250715,10266,-6,2200
20250716,10265,-1,3500
20250717,10269,4,4800
20250718,10278,9,6100
20250721,10275,-3,7400
20250722,10277,2,8700
20250723,10284,7,300
20250724,10279,-5,1600
20250725,10279,0,2900
20250728,10284,5,4200
20250729,10294,10,5500
20250730,10292,-2,6800
20250731,10295,3,8100
20250801,10303,8,9400
