bas_dd,sector_id,etf_n,etf_idx_bp,etf_ret_1d_bp,etf_shares_sum,etf_value_sum,breadth_up_bp,is_partial
20250106,alpha,2,9940,-60,1000000,200000000,0,false
20250107,alpha,2,9922,-18,1000500,200010000,1100,false
20250108,alpha,2,9946,24,1001000,200020000,2200,false
20250109,alpha,2,10012,66,1001500,200030000,3300,false
20250110,alpha,2,9982,-30,1002000,200040000,4400,false
20250113,alpha,2,9994,12,1002500,200050000,5500,false
20250114,alpha,2,10048,54,1003000,200060000,6600,false
20250115,alpha,2,10006,-42,1003500,200070000,7700,false
20250116,alpha,2,10006,0,1004000,200080000,8800,false
20250117,alpha,2,10048,42,1004500,200090000,9900,false
20250120,alpha,2,9994,-54,1005000,200100000,900,false
20250121,alpha,2,9982,-12,1005500,200110000,2000,false
20250122,alpha,2,10012,30,1006000,200120000,3100,false
20250123,alpha,2,10084,72,1006500,200130000,4200,false
20250124,alpha,2,10060,-24,1007000,200140000,5300,false
20250127,alpha,2,10078,18,1007500,200150000,6400,false
20250128,alpha,2,10138,60,1008000,200160000,7500,false
20250129,alpha,2,10102,-36,1008500,200170000,8600,false
20250130,alpha,2,10108,6,1009000,200180000,9700,false
20250131,alpha,2,10157,48,1009500,200190000,700,false
20250203,alpha,2,10108,-48,1010000,200200000,1800,false
20250204,alpha,2,10102,-6,1010500,200210000,2900,false
20250205,alpha,2,10138,36,1011000,200220000,4000,false
20250206,alpha,2,10077,-60,1011500,200230000,5100,false
20250207,alpha,2,10059,-18,1012000,200240000,6200,false
20250210,alpha,2,10083,24,1012500,200250000,7300,false
20250211,alpha,2,10150,66,1013000,200260000,8400,false
20250212,alpha,2,10120,-30,1013500,200270000,9500,false
20250213,alpha,2,10132,12,1014000,200280000,500,false
20250214,alpha,2,10187,54,1014500,200290000,1600,false
20250217,alpha,2,10144,-42,1015000,200300000,2700,false
20250218,alpha,2,10144,0,1015500,200310000,3800,false
20250219,alpha,2,10187,42,1016000,200320000,4900,false
20250220,alpha,2,10132,-54,1016500,200330000,6000,false
20250221,alpha,2,10120,-12,1017000,200340000,7100,false
20250224,alpha,2,10150,30,1017500,200350000,8200,false
20250225,alpha,2,10223,72,1018000,200360000,9300,false
20250226,alpha,2,10198,-24,1018500,200370000,300,false
20250227,alpha,2,10216,18,1019000,200380000,1400,false
20250228,alpha,2,10277,60,1019500,200390000,2500,false
20250303,alpha,2,10240,-36,1020000,200400000,3600,false
20250304,alpha,2,10246,6,1020500,200410000,4700,false
20250305,alpha,2,10295,48,1021000,200420000,5800,false
20250306,alpha,2,10246,-48,1021500,200430000,6900,false
20250307,alpha,2,10240,-6,1022000,200440000,8000,false
20250310,alpha,2,10277,36,1022500,200450000,9100,false
